GeneID	Length	EpCAM-P-4
237320	2243	2
76924	485	0
67692	1061	0
432436	2206	0
20393	4158	678
114671	1771	0
319887	2292	44
379043	1274	61
667281	952	0
606736	4515	2
56554	1271	2
100038752	4548	0
353169	3762	23
237336	2875	228
100504411	1274	0
100038582	2198	3
21412	1239	228
14051	4099	0
20042	518	332
100529074	105	62
100529075	68	48
76306	2837	423
26464	1811	218
22361	2416	599
111174	999	0
209512	1020	0
493809	1032	0
209513	1044	0
215854	1014	0
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	686
100862153	747	0
59012	3083	0
14219	2403	550
18605	3224	13
209558	2815	8
70208	4946	427
11846	1477	130
432442	3123	1107
13822	4464	548
100504474	674	0
73803	865	0
215866	1543	0
77220	4115	6
100040851	1193	0
268288	3554	1
237339	3411	139
667572	1206	0
73910	3616	455
16773	9713	515
100040961	485	4
19272	6177	1263
210757	3981	0
100504516	4347	0
114676	1545	2
67719	1319	0
67412	3948	0
212448	5644	20
52665	3180	75
68031	4404	485
72780	2397	1
100504540	2648	0
66311	1512	3
73681	2359	114
100504586	3440	522
66847	696	182
211329	5338	705
15214	2532	6
69692	718	117
21987	1267	31
100041294	710	188
268291	2860	115
432450	3745	0
76757	4514	0
442820	1844	0
100862254	809	0
215890	2500	0
215895	882	0
57430	1096	0
212892	3650	30
72580	2364	127
414093	7840	11
66521	1082	88
692132	1185	0
270711	3714	0
103511	1786	78
215900	1082	1
212898	4225	107
22110	2696	823
72480	3900	789
319638	2716	291
12813	3130	1
14302	4805	251
100041585	3201	22
319415	3098	0
15182	2004	1083
17118	4186	460
215919	1054	0
16775	6046	559
66337	730	14
71924	2929	7
327743	1418	0
14360	3692	251
100504626	1313	2
103213	2867	305
327744	1664	94
19714	10666	473
100504659	947	0
213332	781	20
75299	2400	5
72045	2285	3
100041085	1782	24
215928	5981	8
215929	2679	16
72472	6556	92
67239	1890	57
67371	1020	152
19850	104	2
11702	3206	378
78334	5807	659
70840	2243	0
70503	3000	140
327747	1529	48
71713	3366	344
83767	2550	7
100504721	508	4
140741	1092	0
103199	3263	696
633979	5640	38
268294	2831	236
171580	3563	160
20598	1602	406
73075	1070	44
53599	2830	3154
75973	2749	31
70538	617	0
629461	2137	13
100628609	55	0
103268	2392	71
140742	3339	325
213402	4865	11
624784	2896	11
56484	2889	533
215951	2513	172
666540	1120	0
54198	1377	1121
21907	3233	0
14628	3009	503
140740	6032	2380
268297	4745	7
109205	4980	8
74530	1859	1
71365	2031	67
331623	6049	131
67851	898	107
100862325	514	0
12484	1816	810
414125	1833	0
69443	1060	0
76563	1970	43
170728	2981	95
11630	7416	63
70365	1522	0
11793	2352	409
