GeneID	Length	CD24-L-4
16876	5750	0
69549	571	26
75546	410	0
329260	8314	239
170788	4702	72
71209	1111	0
226470	8362	243
12316	9866	16
14060	2378	0
50702	1732	0
624286	999	0
214403	2887	0
545366	1602	6
12628	4365	1421
240776	3957	2
75910	551	0
226472	591	0
214498	2678	253
26878	4578	116
69367	3730	232
20822	8721	671
56207	1851	167
19735	3009	196
100861894	494	0
246709	1497	0
50778	1330	13
624910	459	0
64214	1859	3
215378	3172	0
100043240	3910	0
791353	1179	0
100503781	490	0
18783	2846	431
320019	1098	4
19225	4150	2001
100043257	532	320
100043261	345	0
20028	1247	0
75584	610	1
226499	3242	461
108989	7550	1256
96875	4278	28
545370	18316	587
402734	2640	4
73176	1674	0
117198	5037	1731
66875	3668	631
98685	2665	372
19821	3028	326
100503012	373	52
63913	3939	270
66967	6604	613
69399	9754	145
66637	1133	101
269132	4056	85
19731	3887	442
100861876	505	4
71281	1566	25
67771	1897	972
100503084	519	0
17970	2596	22
226517	6069	660
226518	4523	28
16782	5164	621
226519	7622	897
626058	2827	1
71836	2045	1
13211	4613	1339
74091	1403	43
67792	5804	0
329271	3337	0
19734	2335	93
24014	4758	112
240816	3640	8
240817	1654	1
433365	2527	0
240819	1415	0
14645	2782	4175
100861882	573	0
207678	1877	0
78112	613	0
12290	12697	4
15939	3270	2849
15064	2509	472
58244	2459	491
207792	4611	40
100503411	2791	0
19775	7651	448
433367	1751	4
72482	1942	279
16872	1853	0
100861926	688	0
104009	3361	3722
74081	13307	685
208263	4439	688
240832	8112	1134
329274	3687	2
214575	3443	1
170484	3108	0
77352	3297	13
20652	4785	887
11352	10714	468
30935	3268	615
100503836	636	0
215015	4238	539
78255	7133	165
72713	2190	0
73435	898	0
226525	10046	320
69953	1194	113
226527	1289	154
89867	4651	37
100504090	420	1
240843	4101	0
11899	7224	0
735253	109	0
23850	8585	6
72025	2475	1
26374	5056	196
100217414	118	2
21960	5395	5
67647	5391	588
75255	887	16
329278	5812	285
64659	1970	311
12301	2115	363
29809	9489	1361
100316784	109	0
620246	1086	0
620750	465	4
381305	11011	620
11905	2162	10
240869	3883	52
14455	2554	1825
100628588	91	0
100217446	65	33
226539	3581	110
70454	4327	45
226541	4037	226
73844	3723	239
100502590	954	4
11758	2334	19720
22164	1609	0
240873	2064	4
14103	1935	4
226551	6308	621
75368	1164	0
67292	3301	226
103967	7523	44
72753	919	0
474332	7928	4
723821	110	0
387210	110	0
71449	2791	98
53330	2532	167
17926	2080	4
100038657	741	0
226562	10444	1887
226564	1787	41
14261	2326	1859
55990	3336	5164
226565	1870	266
14262	2010	4792
78258	2956	3
18933	7448	50
98376	2509	90
240879	1053	0
16579	3907	457
240880	4069	309
381306	2912	17
69962	1457	38
20339	2912	25
20343	2321	12
20344	3438	50
100503816	1241	5
14067	7406	39
116914	3546	120
74895	1896	680
66352	4035	295
171567	3011	445
11931	2422	7115
56429	1636	411
433374	1588	2
16963	502	0
69476	357	0
75857	998	0
83993	2662	1
108735	5526	1000
226591	4395	328
240888	1943	5
74106	3306	689
70456	854	470
271639	5209	3
68481	2356	719
100503268	612	1
226594	2670	306
100503283	1514	1
433375	2125	1940
12503	4604	24
18986	13123	222
240892	4025	2
59290	2293	1
98558	1546	0
100039795	8260	29
100503318	2514	6
27878	2145	207
71592	7372	277
226601	1744	0
226604	3012	0
240894	3065	0
100503962	936	3
226610	4986	22
80914	1338	93
68944	4474	494
100862084	376	0
56752	2833	397
66447	635	418
240899	1137	0
100503977	287	1
20183	2363	3
110648	3338	0
18514	9027	2194
66977	2405	9
19737	1809	4
100862094	1412	6
19736	2941	31
78465	1440	13
15490	4574	114
67303	1135	7
18214	8290	300
107652	2283	759
16589	2024	87
545378	399	0
622708	1691	2
26904	1433	2
665574	3833	261
76925	713	3
70729	3684	45
320078	3095	155
226641	7463	755
80915	1374	164
435653	1284	1
98752	1727	7
14130	1547	8
246256	1250	2
14131	1353	10
75472	1034	970
66052	1179	851
17528	1993	35
66425	1575	617
12355	1414	0
641376	2920	262
11807	521	5
14127	658	31
226646	1606	1166
240913	3673	33
57370	1998	557
19044	1821	624
30941	2185	379
66155	964	300
100862110	308	0
100504072	1662	1
21945	2733	340
27045	1374	312
18637	622	375
68874	1555	115
71740	3504	753
226652	4488	24
22278	1822	403
226654	551	253
16456	2482	1914
56009	1273	47
16429	1140	7
18106	3758	1
17085	2449	4
75345	3977	7
12506	1142	13
100041098	195	177
27218	2688	3
12523	6253	11
100038548	2574	0
100862186	671	0
30925	2443	5
93840	2260	58
18071	2487	0
59287	2855	957
12847	4629	1989
100504176	730	0
19298	3131	555
98193	3743	1686
18611	2477	908
12372	1874	13
27222	3485	0
98660	6227	375
140559	2234	431
16524	3270	2
16513	5407	3
67556	7569	351
100862199	620	0
98365	1145	8
93842	4249	152
21346	1382	2417
71870	1822	486
71319	941	36
240916	1879	3
74748	2040	0
677296	1914	0
68440	1417	105
100040320	811	1
12944	1698	0
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	8
94332	4159	4
383619	2541	6
240921	2951	14
545384	1294	3
623121	2680	10
236312	3497	24
100033459	2987	80
100504251	716	0
226691	3484	13
15951	2296	11
100504287	1468	33
666028	634	3
100040462	1908	107
381308	1651	0
15950	3793	135
26388	1796	158
226695	1613	3
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	0
258715	1050	0
258302	1046	0
20739	8405	0
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	15
23893	3745	148
24012	2487	3
14194	1632	671
98256	2498	5
13603	1721	26
12663	6117	213
75820	3817	2
26909	5506	7
319455	3894	1
545389	6930	173
723921	99	0
76816	2619	273
15365	1510	3
23797	4735	333
30928	5106	508
75589	698	0
69428	749	16
11566	2553	1395
631584	2790	0
545391	1663	7
78825	4214	261
791357	1199	8
75164	651	0
666295	875	416
320110	427	1
66359	448	447
51810	3670	3286
68226	2539	94
269152	7406	99
69726	3769	108
15278	2448	73
226744	4545	659
109232	1922	336
226747	8831	703
100503705	1428	0
226751	8656	920
67426	4076	210
19165	2084	213
277333	3581	45
320404	5101	795
381310	6557	15
11545	3827	512
72568	3377	47
27217	2294	0
170760	3471	576
100504581	591	0
15078	1076	223
208768	3189	349
100504598	177	0
320202	2462	1
100862334	599	0
69051	1599	199
13590	1604	20
208795	3239	1463
13849	1665	4502
619326	1898	1
67459	3060	209
98417	3268	268
226757	7047	1488
329307	2505	10
72978	2727	8
403180	1819	145
240960	13996	5
98386	3552	732
433384	1343	1
13800	4288	1008
27058	1388	416
625823	921	0
13244	2005	719
67330	686	2
67948	4913	339
209456	4370	894
12334	3185	1496
170725	3705	31
433386	2055	0
96935	2035	86
53791	3199	216
68897	5030	130
71678	3456	308
108909	3293	241
338366	6678	1346
21339	2386	272
78772	2736	11
73363	967	6
63953	2712	96
73590	778	0
74971	1722	0
15284	2149	67
66112	2161	10
67247	1883	709
100316821	82	0
226777	2853	473
226778	4565	52
98732	6988	497
100217449	113	0
381314	3540	784
387189	67	0
387211	112	1
23827	2182	395
107508	4850	950
319562	3406	0
100039138	2761	0
226781	5836	0
114668	709	0
226791	1577	184
21808	4725	145
67223	1213	110
110957	3212	0
74717	1645	115
69308	823	0
67769	4565	300
100862400	1119	28
26381	5580	85
320272	2212	1
22283	15891	0
226823	3703	388
16526	3959	1606
100042424	516	222
100039307	642	91
108000	11130	34
19250	10746	783
226830	1605	203
19130	4139	8
100504619	832	1
320119	3995	169
52477	3349	465
226841	4190	3
226844	4087	300
100125339	1649	3
75558	428	2
68972	1258	107
381318	2973	8
381319	712	6
619288	2234	175
11910	1977	11163
100504360	568	34
100861628	406	1
66208	658	109
66950	4204	79
226849	3082	419
100504379	2421	4
76843	4202	17
77065	3252	213
226856	7246	987
18005	3197	364
98736	4362	21
22782	5230	394
74023	3720	94
22033	2102	111
100628582	81	0
100042625	720	910
214742	1597	124
100038712	2612	40
16510	7143	51
226861	2835	46
320952	2041	2
73455	404	0
214791	3401	68
100503471	624	6
329324	1731	3
215193	5548	125
54139	4125	583
319266	3834	55
215243	2121	2
15483	1446	455
14373	843	0
100503531	873	0
16780	4055	700
215303	2453	0
387201	68	0
74942	578	0
18845	11036	458
100628615	64	0
12490	2621	724
320400	2491	11
320977	5195	45
723963	81	0
387224	88	0
17221	1213	26
12946	1662	402
12902	6207	1
215728	2801	0
619314	1938	0
670558	2817	47
76142	2524	704
70337	1540	240
213783	7415	241
270685	4332	65
83397	6247	699
381990	3227	191
66084	1849	79
73419	2290	109
100504234	2151	303
13982	4319	13
64009	18115	1220
68632	2777	274
22353	1527	0
67141	1807	45
108853	2621	71
56533	8191	5
100041224	522	0
18390	2639	0
320495	8240	9
215748	3448	160
77777	1819	3
237253	3403	47
18537	1917	517
320642	1253	13
69912	1290	38
407824	2188	24
16798	7215	674
23924	1775	298
215751	1557	536
100503695	916	0
67418	2896	387
237256	4093	5
100628581	94	0
68652	4278	968
338362	4284	25
70097	7183	940
791352	3151	0
320825	2495	56
620417	2980	5
78808	9074	368
215772	5218	569
67844	2054	61
382450	3785	0
14816	6990	0
78056	444	0
268281	9293	281
71865	5114	294
13853	1079	23
22288	12382	1113
320273	1182	23
74732	2396	54
66125	734	413
22634	5260	752
100862331	414	0
75122	1053	0
353258	1769	336
215789	8913	843
66848	3954	778
56535	2405	294
66757	1453	37
66253	1054	354
15273	9768	537
100504211	3928	3
215798	6505	315
100039571	514	9
66201	1325	277
69412	910	0
76743	1477	0
18101	1173	0
100504235	3401	0
17684	1969	672
378431	4457	12
380629	3667	439
73112	810	351
19707	2618	437
100045792	2900	180
215814	1166	74
215819	7638	323
56016	1910	87
215821	8216	34
237300	2355	5
73968	2928	62
64058	1901	1270
21929	4595	599
100504265	6220	0
94222	2066	12
15979	2099	754
237310	2468	5
237313	2088	2
76157	2629	26
18634	1894	483
26408	5393	693
17761	3895	1313
73811	629	0
621697	592	128
72567	5454	1613
71804	2307	14
29863	4127	96
52906	5094	159
100038717	3304	0
100504283	1667	1
17863	3777	646
56422	4893	480
73990	1016	1
237320	2243	0
76924	485	0
67692	1061	0
432436	2206	0
20393	4158	1456
114671	1771	0
319887	2292	11
379043	1274	42
667281	952	1
606736	4515	0
56554	1271	0
100038752	4548	0
353169	3762	126
237336	2875	348
100504411	1274	0
100038582	2198	1
21412	1239	129
14051	4099	6
20042	518	172
100529074	105	27
100529075	68	21
76306	2837	264
26464	1811	304
22361	2416	337
111174	999	1
209512	1020	0
493809	1032	0
209513	1044	0
215854	1014	0
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	521
100862153	747	0
59012	3083	2
14219	2403	688
18605	3224	68
209558	2815	11
70208	4946	368
11846	1477	5
432442	3123	342
13822	4464	932
100504474	674	0
73803	865	0
215866	1543	0
77220	4115	3
100040851	1193	0
268288	3554	4
237339	3411	136
667572	1206	0
73910	3616	529
16773	9713	336
100040961	485	3
19272	6177	1221
210757	3981	2
100504516	4347	0
114676	1545	3
67719	1319	0
67412	3948	1
212448	5644	10
52665	3180	32
68031	4404	351
72780	2397	6
100504540	2648	0
66311	1512	15
73681	2359	89
100504586	3440	298
66847	696	94
211329	5338	339
15214	2532	38
69692	718	142
21987	1267	45
100041294	710	139
268291	2860	146
432450	3745	0
76757	4514	1
442820	1844	0
100862254	809	0
215890	2500	0
215895	882	0
57430	1096	0
212892	3650	687
72580	2364	171
414093	7840	3
66521	1082	73
692132	1185	0
270711	3714	0
103511	1786	26
215900	1082	9
212898	4225	105
22110	2696	568
72480	3900	448
319638	2716	253
12813	3130	1
14302	4805	199
100041585	3201	23
319415	3098	0
15182	2004	711
17118	4186	530
215919	1054	0
16775	6046	366
66337	730	60
71924	2929	24
327743	1418	3
14360	3692	200
100504626	1313	3
103213	2867	303
327744	1664	51
19714	10666	663
100504659	947	0
213332	781	16
75299	2400	31
72045	2285	5
100041085	1782	25
215928	5981	9
215929	2679	64
72472	6556	161
67239	1890	108
67371	1020	173
19850	104	1
11702	3206	343
78334	5807	560
70840	2243	0
70503	3000	316
327747	1529	47
71713	3366	357
83767	2550	2
100504721	508	3
140741	1092	0
103199	3263	148
633979	5640	294
268294	2831	174
171580	3563	146
20598	1602	336
73075	1070	475
53599	2830	3119
75973	2749	630
70538	617	0
629461	2137	139
100628609	55	0
103268	2392	48
140742	3339	336
213402	4865	207
624784	2896	8
56484	2889	210
215951	2513	184
666540	1120	1
54198	1377	1053
21907	3233	0
14628	3009	323
140740	6032	1346
268297	4745	8
109205	4980	85
74530	1859	15
71365	2031	69
331623	6049	79
67851	898	107
100862325	514	0
12484	1816	6667
414125	1833	0
69443	1060	0
76563	1970	92
170728	2981	149
11630	7416	444
70365	1522	0
11793	2352	267
100316688	93	0
12142	5143	51
19072	2719	828
78977	1851	5
23828	1607	1
